Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_GEX_2000_var,0.05,levenshtein_sequence_based,0.94,0.015,0.745,0.072,0.762,0.076,0.657,0.102,0.92,0.031,0.614,0.105,0.931,0.02,0.898,0.034
kSVC_GEX_2000_var,0.05,levenshtein_sequence_based,0.97,0.014,0.847,0.034,0.856,0.032,0.97,0.02,0.768,0.057,0.772,0.037,0.883,0.028,0.941,0.029
LogReg_GEX_2000_var,0.05,random_split,0.946,0.008,0.775,0.029,0.794,0.026,0.693,0.032,0.93,0.018,0.653,0.038,0.939,0.012,0.916,0.021
kSVC_GEX_2000_var,0.05,random_split,0.972,0.006,0.853,0.035,0.859,0.037,0.983,0.017,0.765,0.061,0.778,0.049,0.882,0.03,0.953,0.013
RF_GEX_2000_var,0.05,levenshtein_sequence_based,0.904,0.034,0.371,0.076,0.267,0.087,1.0,0.0,0.157,0.06,0.253,0.04,0.579,0.03,0.853,0.045
GBoost_GEX_2000_var,0.05,levenshtein_sequence_based,0.963,0.014,0.806,0.023,0.812,0.017,0.975,0.017,0.696,0.021,0.714,0.019,0.847,0.011,0.946,0.021
RF_GEX_2000_var,0.05,random_split,0.907,0.003,0.388,0.03,0.286,0.037,1.0,0.0,0.168,0.025,0.261,0.022,0.584,0.013,0.857,0.034
GBoost_GEX_2000_var,0.05,random_split,0.964,0.004,0.807,0.024,0.809,0.026,0.992,0.01,0.684,0.037,0.714,0.034,0.842,0.018,0.949,0.009
LogReg_3-mer,0.05,levenshtein_sequence_based,0.864,0.021,0.465,0.068,0.519,0.065,0.428,0.079,0.681,0.09,0.329,0.063,0.785,0.048,0.599,0.077
kSVC_3-mer,0.05,levenshtein_sequence_based,0.926,0.037,0.583,0.12,0.578,0.139,0.848,0.037,0.457,0.154,0.453,0.102,0.724,0.076,0.638,0.057
LogReg_3-mer,0.05,random_split,0.889,0.017,0.59,0.046,0.627,0.041,0.507,0.047,0.824,0.037,0.438,0.046,0.861,0.022,0.754,0.05
kSVC_3-mer,0.05,random_split,0.953,0.007,0.748,0.039,0.764,0.039,0.879,0.066,0.681,0.06,0.633,0.052,0.834,0.028,0.807,0.04
RF_3-mer,0.05,levenshtein_sequence_based,0.926,0.04,0.571,0.158,0.54,0.2,0.914,0.068,0.421,0.207,0.447,0.15,0.708,0.102,0.712,0.091
GBoost_3-mer,0.05,levenshtein_sequence_based,0.922,0.037,0.54,0.165,0.527,0.202,0.807,0.117,0.442,0.231,0.416,0.16,0.714,0.113,0.667,0.107
RF_3-mer,0.05,random_split,0.961,0.009,0.79,0.052,0.804,0.05,0.902,0.046,0.73,0.075,0.689,0.071,0.86,0.037,0.847,0.046
GBoost_3-mer,0.05,random_split,0.961,0.006,0.792,0.034,0.81,0.034,0.877,0.029,0.757,0.064,0.69,0.045,0.872,0.031,0.83,0.048
LogReg_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.891,0.015,0.622,0.07,0.64,0.079,0.497,0.088,0.913,0.044,0.465,0.093,0.9,0.025,0.871,0.035
kSVC_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.952,0.027,0.749,0.079,0.753,0.089,0.936,0.025,0.642,0.123,0.642,0.079,0.818,0.061,0.869,0.033
LogReg_GEX_2000_var_3-mer,0.05,random_split,0.912,0.008,0.693,0.013,0.709,0.015,0.565,0.03,0.954,0.036,0.544,0.017,0.93,0.013,0.922,0.028
kSVC_GEX_2000_var_3-mer,0.05,random_split,0.972,0.006,0.852,0.03,0.863,0.029,0.934,0.043,0.805,0.05,0.773,0.044,0.899,0.024,0.93,0.02
RF_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.914,0.041,0.472,0.166,0.4,0.21,0.98,0.025,0.279,0.185,0.354,0.139,0.639,0.092,0.875,0.03
GBoost_GEX_2000_var_3-mer,0.05,levenshtein_sequence_based,0.956,0.026,0.773,0.092,0.767,0.102,0.991,0.011,0.639,0.14,0.676,0.111,0.819,0.07,0.942,0.023
RF_GEX_2000_var_3-mer,0.05,random_split,0.95,0.004,0.725,0.026,0.723,0.027,0.965,0.03,0.578,0.032,0.605,0.032,0.788,0.016,0.908,0.035
GBoost_GEX_2000_var_3-mer,0.05,random_split,0.975,0.005,0.868,0.028,0.875,0.028,0.98,0.018,0.792,0.046,0.8,0.041,0.895,0.023,0.967,0.013
LogReg_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.935,0.021,0.727,0.075,0.748,0.08,0.65,0.114,0.898,0.027,0.595,0.103,0.919,0.02,0.884,0.043
kSVC_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.905,0.021,0.479,0.042,0.522,0.043,0.593,0.092,0.481,0.075,0.341,0.045,0.72,0.035,0.527,0.091
LogReg_GEX_2000_var_pca,0.05,random_split,0.944,0.014,0.767,0.049,0.788,0.045,0.693,0.058,0.916,0.028,0.645,0.064,0.932,0.018,0.889,0.029
kSVC_GEX_2000_var_pca,0.05,random_split,0.902,0.01,0.456,0.078,0.504,0.076,0.574,0.057,0.454,0.098,0.326,0.062,0.706,0.047,0.475,0.071
RF_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.918,0.033,0.511,0.068,0.452,0.086,0.971,0.024,0.299,0.072,0.37,0.035,0.649,0.036,0.814,0.023
GBoost_GEX_2000_var_pca,0.05,levenshtein_sequence_based,0.952,0.017,0.742,0.044,0.755,0.042,0.892,0.049,0.659,0.062,0.627,0.052,0.825,0.031,0.882,0.027
RF_GEX_2000_var_pca,0.05,random_split,0.925,0.005,0.547,0.039,0.501,0.037,0.968,0.047,0.338,0.03,0.402,0.038,0.668,0.016,0.832,0.049
GBoost_GEX_2000_var_pca,0.05,random_split,0.953,0.006,0.739,0.037,0.749,0.034,0.919,0.041,0.632,0.037,0.623,0.048,0.813,0.019,0.875,0.035
LogReg_3-mer_pca,0.05,levenshtein_sequence_based,0.862,0.043,0.465,0.113,0.521,0.091,0.431,0.08,0.679,0.139,0.336,0.084,0.783,0.076,0.511,0.142
kSVC_3-mer_pca,0.05,levenshtein_sequence_based,0.917,0.04,0.512,0.167,0.505,0.189,0.78,0.083,0.405,0.205,0.393,0.15,0.696,0.102,0.623,0.095
LogReg_3-mer_pca,0.05,random_split,0.878,0.009,0.574,0.013,0.607,0.012,0.476,0.022,0.843,0.037,0.418,0.013,0.863,0.013,0.742,0.044
