Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_GEX_2000_var,0.05,levenshtein_sequence_based,0.95,0.008,0.843,0.063,0.866,0.069,0.786,0.095,0.97,0.022,0.769,0.105,0.957,0.013,0.967,0.029
kSVC_GEX_2000_var,0.05,levenshtein_sequence_based,0.979,0.006,0.92,0.04,0.932,0.04,0.975,0.03,0.893,0.05,0.89,0.07,0.945,0.026,0.974,0.031
LogReg_GEX_2000_var,0.05,random_split,0.949,0.009,0.858,0.02,0.884,0.017,0.81,0.032,0.975,0.01,0.794,0.029,0.959,0.005,0.981,0.005
kSVC_GEX_2000_var,0.05,random_split,0.977,0.001,0.927,0.005,0.94,0.004,0.979,0.013,0.904,0.014,0.904,0.006,0.95,0.006,0.985,0.001
RF_GEX_2000_var,0.05,levenshtein_sequence_based,0.928,0.028,0.761,0.039,0.774,0.044,1.0,0.0,0.633,0.059,0.704,0.063,0.816,0.029,0.957,0.049
GBoost_GEX_2000_var,0.05,levenshtein_sequence_based,0.98,0.006,0.929,0.021,0.94,0.023,0.988,0.009,0.897,0.036,0.905,0.042,0.947,0.018,0.982,0.023
RF_GEX_2000_var,0.05,random_split,0.929,0.008,0.767,0.028,0.781,0.03,0.997,0.006,0.643,0.041,0.712,0.033,0.821,0.021,0.973,0.008
GBoost_GEX_2000_var,0.05,random_split,0.98,0.005,0.937,0.015,0.948,0.013,0.994,0.008,0.906,0.024,0.919,0.019,0.952,0.012,0.987,0.003
LogReg_3-mer,0.05,levenshtein_sequence_based,0.777,0.017,0.303,0.183,0.438,0.193,0.398,0.186,0.498,0.197,0.319,0.164,0.663,0.092,0.473,0.221
kSVC_3-mer,0.05,levenshtein_sequence_based,0.855,0.033,0.406,0.123,0.404,0.146,0.785,0.137,0.278,0.122,0.367,0.156,0.633,0.061,0.564,0.217
LogReg_3-mer,0.05,random_split,0.839,0.011,0.548,0.02,0.643,0.015,0.578,0.028,0.727,0.024,0.474,0.017,0.797,0.009,0.738,0.019
kSVC_3-mer,0.05,random_split,0.907,0.006,0.687,0.023,0.716,0.023,0.917,0.037,0.588,0.032,0.621,0.026,0.787,0.015,0.783,0.014
RF_3-mer,0.05,levenshtein_sequence_based,0.828,0.063,0.264,0.141,0.217,0.149,0.772,0.193,0.132,0.101,0.284,0.125,0.564,0.051,0.447,0.191
GBoost_3-mer,0.05,levenshtein_sequence_based,0.84,0.068,0.342,0.171,0.333,0.189,0.734,0.143,0.228,0.157,0.336,0.152,0.607,0.079,0.411,0.174
