Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_GEX_2000_var,0.1,levenshtein_sequence_based,0.678,0.02,0.041,0.027,0.218,0.018,0.18,0.041,0.302,0.057,0.165,0.047,0.527,0.02,0.183,0.048
kSVC_GEX_2000_var,0.1,levenshtein_sequence_based,0.84,0.05,0.02,0.04,0.018,0.017,0.217,0.181,0.009,0.009,0.16,0.05,0.502,0.005,0.179,0.054
LogReg_GEX_2000_var,0.1,random_split,0.687,0.012,0.088,0.036,0.26,0.028,0.201,0.021,0.367,0.044,0.169,0.009,0.555,0.023,0.189,0.008
kSVC_GEX_2000_var,0.1,random_split,0.848,0.001,0.009,0.018,0.009,0.004,0.213,0.122,0.005,0.002,0.15,0.0,0.501,0.001,0.18,0.013
RF_GEX_2000_var,0.1,levenshtein_sequence_based,0.842,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.051,0.5,0.0,0.19,0.063
GBoost_GEX_2000_var,0.1,levenshtein_sequence_based,0.831,0.044,0.03,0.043,0.048,0.028,0.253,0.155,0.028,0.018,0.161,0.052,0.505,0.008,0.2,0.067
RF_GEX_2000_var,0.1,random_split,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.5,0.0,0.203,0.02
GBoost_GEX_2000_var,0.1,random_split,0.838,0.006,0.04,0.039,0.066,0.027,0.245,0.091,0.038,0.016,0.155,0.005,0.509,0.008,0.208,0.014
LogReg_3-mer,0.1,levenshtein_sequence_based,0.776,0.015,0.253,0.11,0.378,0.121,0.335,0.136,0.449,0.093,0.245,0.106,0.641,0.05,0.398,0.147
kSVC_3-mer,0.1,levenshtein_sequence_based,0.866,0.047,0.342,0.146,0.329,0.149,0.706,0.16,0.22,0.114,0.294,0.106,0.604,0.058,0.466,0.144
LogReg_3-mer,0.1,random_split,0.849,0.009,0.51,0.017,0.586,0.014,0.499,0.021,0.713,0.016,0.398,0.015,0.793,0.007,0.649,0.02
kSVC_3-mer,0.1,random_split,0.925,0.004,0.677,0.017,0.697,0.01,0.885,0.044,0.576,0.011,0.573,0.02,0.781,0.003,0.742,0.027
RF_3-mer,0.1,levenshtein_sequence_based,0.843,0.052,0.067,0.061,0.02,0.021,0.56,0.463,0.01,0.011,0.166,0.045,0.505,0.005,0.402,0.127
GBoost_3-mer,0.1,levenshtein_sequence_based,0.84,0.048,0.162,0.072,0.152,0.05,0.527,0.173,0.092,0.031,0.193,0.052,0.536,0.015,0.324,0.108
RF_3-mer,0.1,random_split,0.938,0.003,0.736,0.012,0.757,0.01,0.909,0.025,0.649,0.016,0.642,0.016,0.819,0.007,0.796,0.02
GBoost_3-mer,0.1,random_split,0.931,0.006,0.708,0.026,0.738,0.02,0.857,0.044,0.649,0.016,0.609,0.031,0.815,0.009,0.768,0.027
LogReg_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.788,0.019,0.323,0.103,0.437,0.113,0.367,0.115,0.55,0.111,0.28,0.103,0.689,0.052,0.436,0.158
kSVC_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.856,0.048,0.274,0.08,0.241,0.078,0.698,0.122,0.148,0.055,0.242,0.056,0.569,0.028,0.465,0.139
LogReg_GEX_2000_var_3-mer,0.1,random_split,0.843,0.008,0.518,0.02,0.591,0.016,0.485,0.015,0.755,0.027,0.403,0.016,0.807,0.013,0.71,0.028
kSVC_GEX_2000_var_3-mer,0.1,random_split,0.924,0.003,0.669,0.01,0.691,0.008,0.878,0.035,0.571,0.019,0.565,0.012,0.778,0.007,0.749,0.023
RF_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.843,0.052,0.059,0.056,0.018,0.019,0.467,0.4,0.009,0.01,0.165,0.047,0.504,0.005,0.377,0.144
GBoost_GEX_2000_var_3-mer,0.1,levenshtein_sequence_based,0.843,0.052,0.177,0.083,0.161,0.043,0.557,0.228,0.095,0.025,0.2,0.053,0.539,0.014,0.315,0.118
RF_GEX_2000_var_3-mer,0.1,random_split,0.923,0.003,0.665,0.014,0.673,0.011,0.924,0.025,0.53,0.012,0.56,0.015,0.761,0.006,0.767,0.015
GBoost_GEX_2000_var_3-mer,0.1,random_split,0.919,0.004,0.652,0.014,0.685,0.009,0.823,0.031,0.588,0.004,0.545,0.016,0.783,0.001,0.737,0.023
