Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_1-hot,0.05,levenshtein_sequence_based,0.872,0.059,0.464,0.087,0.535,0.074,0.562,0.075,0.525,0.107,0.362,0.072,0.725,0.053,0.561,0.065
kSVC_1-hot,0.05,levenshtein_sequence_based,0.886,0.049,0.449,0.102,0.443,0.109,0.767,0.126,0.333,0.137,0.351,0.064,0.659,0.068,0.558,0.047
LogReg_1-hot,0.05,random_split,0.913,0.01,0.692,0.024,0.739,0.021,0.685,0.043,0.805,0.023,0.581,0.028,0.869,0.009,0.799,0.029
kSVC_1-hot,0.05,random_split,0.938,0.002,0.747,0.014,0.779,0.015,0.848,0.02,0.722,0.04,0.654,0.015,0.849,0.018,0.772,0.008
RF_1-hot,0.05,levenshtein_sequence_based,0.896,0.052,0.515,0.119,0.494,0.125,0.884,0.047,0.352,0.127,0.413,0.088,0.673,0.065,0.619,0.057
GBoost_1-hot,0.05,levenshtein_sequence_based,0.891,0.056,0.483,0.136,0.479,0.129,0.812,0.102,0.348,0.129,0.389,0.099,0.667,0.068,0.597,0.043
RF_1-hot,0.05,random_split,0.945,0.003,0.777,0.012,0.806,0.011,0.866,0.029,0.755,0.03,0.69,0.016,0.867,0.013,0.833,0.025
GBoost_1-hot,0.05,random_split,0.94,0.002,0.759,0.011,0.79,0.011,0.848,0.025,0.742,0.034,0.668,0.013,0.859,0.014,0.813,0.024
LogReg_2-mer,0.05,levenshtein_sequence_based,0.847,0.028,0.403,0.068,0.481,0.086,0.459,0.123,0.539,0.085,0.312,0.091,0.719,0.037,0.48,0.128
kSVC_2-mer,0.05,levenshtein_sequence_based,0.863,0.032,0.313,0.116,0.35,0.11,0.531,0.213,0.283,0.094,0.258,0.107,0.622,0.045,0.389,0.143
LogReg_2-mer,0.05,random_split,0.869,0.007,0.601,0.016,0.658,0.014,0.545,0.017,0.829,0.016,0.478,0.016,0.853,0.008,0.723,0.013
kSVC_2-mer,0.05,random_split,0.903,0.005,0.589,0.019,0.637,0.015,0.735,0.029,0.562,0.015,0.479,0.019,0.763,0.008,0.636,0.046
RF_2-mer,0.05,levenshtein_sequence_based,0.895,0.05,0.498,0.127,0.463,0.144,0.911,0.041,0.322,0.136,0.397,0.101,0.658,0.068,0.626,0.071
GBoost_2-mer,0.05,levenshtein_sequence_based,0.893,0.05,0.488,0.107,0.473,0.108,0.847,0.071,0.336,0.109,0.386,0.076,0.663,0.056,0.612,0.047
RF_2-mer,0.05,random_split,0.944,0.002,0.773,0.01,0.801,0.011,0.873,0.022,0.742,0.031,0.686,0.011,0.861,0.013,0.837,0.03
GBoost_2-mer,0.05,random_split,0.943,0.003,0.769,0.014,0.799,0.014,0.86,0.038,0.749,0.044,0.681,0.016,0.863,0.019,0.813,0.021
LogReg_3-mer,0.05,levenshtein_sequence_based,0.89,0.04,0.494,0.049,0.532,0.047,0.674,0.087,0.458,0.091,0.384,0.034,0.713,0.045,0.581,0.043
kSVC_3-mer,0.05,levenshtein_sequence_based,0.888,0.053,0.456,0.107,0.434,0.11,0.831,0.062,0.302,0.105,0.358,0.062,0.646,0.054,0.565,0.063
LogReg_3-mer,0.05,random_split,0.913,0.026,0.693,0.059,0.74,0.051,0.697,0.091,0.798,0.028,0.586,0.066,0.866,0.016,0.778,0.023
kSVC_3-mer,0.05,random_split,0.939,0.003,0.75,0.012,0.78,0.014,0.864,0.028,0.713,0.037,0.658,0.014,0.846,0.016,0.776,0.017
RF_3-mer,0.05,levenshtein_sequence_based,0.898,0.049,0.519,0.115,0.498,0.123,0.888,0.05,0.357,0.128,0.415,0.085,0.675,0.065,0.612,0.059
GBoost_3-mer,0.05,levenshtein_sequence_based,0.893,0.051,0.485,0.115,0.461,0.126,0.859,0.055,0.327,0.13,0.384,0.081,0.66,0.065,0.593,0.061
RF_3-mer,0.05,random_split,0.946,0.003,0.779,0.014,0.807,0.012,0.875,0.028,0.751,0.026,0.694,0.017,0.866,0.011,0.839,0.022
GBoost_3-mer,0.05,random_split,0.94,0.004,0.755,0.016,0.787,0.015,0.845,0.02,0.738,0.028,0.663,0.019,0.857,0.013,0.799,0.023
LogReg_4-mer,0.05,levenshtein_sequence_based,0.827,0.056,0.403,0.108,0.49,0.089,0.421,0.093,0.613,0.11,0.319,0.076,0.739,0.068,0.564,0.097
kSVC_4-mer,0.05,levenshtein_sequence_based,0.887,0.052,0.445,0.112,0.406,0.13,0.867,0.06,0.28,0.13,0.348,0.07,0.637,0.065,0.548,0.092
LogReg_4-mer,0.05,random_split,0.889,0.008,0.639,0.019,0.692,0.016,0.598,0.022,0.824,0.024,0.519,0.02,0.862,0.011,0.796,0.018
kSVC_4-mer,0.05,random_split,0.942,0.003,0.764,0.015,0.792,0.017,0.876,0.02,0.724,0.039,0.675,0.017,0.853,0.017,0.782,0.012
RF_4-mer,0.05,levenshtein_sequence_based,0.895,0.051,0.501,0.124,0.475,0.134,0.884,0.054,0.337,0.137,0.401,0.091,0.665,0.069,0.607,0.048
GBoost_4-mer,0.05,levenshtein_sequence_based,0.891,0.047,0.463,0.098,0.446,0.103,0.829,0.053,0.312,0.1,0.362,0.075,0.651,0.051,0.596,0.048
RF_4-mer,0.05,random_split,0.944,0.003,0.771,0.013,0.799,0.014,0.871,0.024,0.74,0.036,0.683,0.016,0.86,0.016,0.839,0.023
GBoost_4-mer,0.05,random_split,0.938,0.003,0.749,0.008,0.781,0.005,0.846,0.034,0.727,0.024,0.656,0.011,0.852,0.009,0.802,0.028
