Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.05,levenshtein_sequence_based,0.829,0.05,0.488,0.092,0.561,0.097,0.498,0.151,0.701,0.063,0.389,0.097,0.779,0.027,0.59,0.127
kSVC_ESM-2,0.05,levenshtein_sequence_based,0.827,0.047,0.235,0.143,0.322,0.126,0.409,0.158,0.269,0.11,0.236,0.078,0.597,0.062,0.361,0.114
LogReg_ESM-2,0.05,random_split,0.886,0.005,0.625,0.011,0.681,0.009,0.588,0.014,0.809,0.016,0.505,0.011,0.854,0.007,0.766,0.014
kSVC_ESM-2,0.05,random_split,0.863,0.016,0.391,0.07,0.452,0.06,0.577,0.09,0.376,0.061,0.313,0.048,0.663,0.032,0.451,0.074
RF_ESM-2,0.05,levenshtein_sequence_based,0.87,0.021,0.333,0.099,0.275,0.138,0.852,0.051,0.175,0.103,0.273,0.088,0.584,0.049,0.542,0.105
GBoost_ESM-2,0.05,levenshtein_sequence_based,0.876,0.024,0.402,0.114,0.414,0.131,0.701,0.084,0.302,0.116,0.327,0.098,0.641,0.057,0.569,0.094
RF_ESM-2,0.05,random_split,0.925,0.006,0.676,0.029,0.698,0.032,0.881,0.007,0.579,0.045,0.574,0.033,0.783,0.022,0.796,0.018
GBoost_ESM-2,0.05,random_split,0.928,0.006,0.695,0.031,0.726,0.031,0.844,0.021,0.638,0.045,0.593,0.035,0.809,0.022,0.796,0.022
LogReg_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.837,0.023,0.466,0.043,0.54,0.053,0.497,0.105,0.646,0.139,0.366,0.058,0.76,0.045,0.577,0.064
kSVC_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.849,0.016,0.303,0.111,0.355,0.125,0.525,0.174,0.29,0.128,0.264,0.094,0.619,0.057,0.428,0.134
LogReg_ESM-2-CDRextract,0.05,random_split,0.867,0.01,0.582,0.015,0.644,0.014,0.541,0.025,0.797,0.028,0.461,0.016,0.838,0.009,0.739,0.035
kSVC_ESM-2-CDRextract,0.05,random_split,0.887,0.007,0.515,0.039,0.571,0.04,0.667,0.02,0.501,0.053,0.41,0.034,0.728,0.025,0.553,0.036
RF_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.88,0.02,0.389,0.143,0.344,0.194,0.862,0.013,0.238,0.165,0.319,0.136,0.615,0.08,0.642,0.076
GBoost_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.889,0.02,0.465,0.131,0.453,0.17,0.826,0.129,0.338,0.17,0.376,0.135,0.661,0.081,0.64,0.101
RF_ESM-2-CDRextract,0.05,random_split,0.932,0.008,0.709,0.037,0.726,0.039,0.915,0.019,0.603,0.048,0.613,0.044,0.797,0.024,0.797,0.017
GBoost_ESM-2-CDRextract,0.05,random_split,0.934,0.003,0.725,0.015,0.752,0.016,0.876,0.032,0.661,0.035,0.629,0.018,0.822,0.015,0.815,0.012
LogReg_3-mer,0.05,levenshtein_sequence_based,0.886,0.017,0.571,0.073,0.619,0.091,0.651,0.118,0.642,0.161,0.461,0.085,0.787,0.067,0.647,0.076
kSVC_3-mer,0.05,levenshtein_sequence_based,0.888,0.02,0.483,0.087,0.492,0.12,0.782,0.075,0.373,0.116,0.386,0.09,0.677,0.055,0.649,0.053
LogReg_3-mer,0.05,random_split,0.921,0.006,0.712,0.012,0.756,0.011,0.712,0.03,0.809,0.021,0.604,0.016,0.875,0.007,0.785,0.014
kSVC_3-mer,0.05,random_split,0.933,0.005,0.721,0.025,0.754,0.025,0.843,0.026,0.683,0.044,0.624,0.029,0.83,0.02,0.762,0.019
RF_3-mer,0.05,levenshtein_sequence_based,0.891,0.024,0.482,0.14,0.487,0.175,0.775,0.042,0.38,0.181,0.393,0.131,0.68,0.086,0.709,0.048
GBoost_3-mer,0.05,levenshtein_sequence_based,0.888,0.026,0.477,0.133,0.488,0.158,0.76,0.07,0.378,0.159,0.389,0.117,0.679,0.076,0.656,0.073
RF_3-mer,0.05,random_split,0.937,0.006,0.74,0.026,0.773,0.024,0.843,0.027,0.715,0.041,0.646,0.03,0.845,0.019,0.813,0.019
GBoost_3-mer,0.05,random_split,0.93,0.005,0.713,0.022,0.75,0.02,0.812,0.037,0.699,0.041,0.612,0.026,0.835,0.018,0.783,0.032
LogReg_Antiberty,0.05,levenshtein_sequence_based,0.778,0.013,0.38,0.083,0.472,0.074,0.373,0.053,0.681,0.175,0.305,0.061,0.739,0.066,0.523,0.065
kSVC_Antiberty,0.05,levenshtein_sequence_based,0.836,0.023,0.278,0.144,0.357,0.138,0.444,0.165,0.307,0.118,0.258,0.096,0.619,0.063,0.394,0.119
LogReg_Antiberty,0.05,random_split,0.844,0.017,0.555,0.021,0.616,0.02,0.493,0.032,0.826,0.026,0.432,0.021,0.837,0.007,0.688,0.05
kSVC_Antiberty,0.05,random_split,0.871,0.01,0.43,0.038,0.489,0.031,0.611,0.055,0.409,0.026,0.339,0.03,0.681,0.015,0.506,0.025
RF_Antiberty,0.05,levenshtein_sequence_based,0.881,0.023,0.433,0.127,0.434,0.161,0.745,0.076,0.332,0.172,0.351,0.116,0.656,0.081,0.548,0.081
GBoost_Antiberty,0.05,levenshtein_sequence_based,0.881,0.02,0.442,0.125,0.464,0.149,0.7,0.113,0.367,0.15,0.359,0.116,0.67,0.072,0.551,0.113
