Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.05,levenshtein_sequence_based,0.869,0.031,0.503,0.078,0.57,0.093,0.515,0.109,0.661,0.092,0.389,0.103,0.781,0.039,0.586,0.085
kSVC_ESM-2,0.05,levenshtein_sequence_based,0.81,0.047,0.13,0.036,0.22,0.04,0.279,0.088,0.207,0.073,0.169,0.056,0.56,0.025,0.225,0.082
LogReg_ESM-2,0.05,random_split,0.887,0.015,0.638,0.037,0.691,0.031,0.593,0.042,0.829,0.025,0.518,0.037,0.863,0.016,0.783,0.02
kSVC_ESM-2,0.05,random_split,0.834,0.014,0.304,0.064,0.396,0.058,0.442,0.055,0.36,0.062,0.259,0.041,0.64,0.032,0.326,0.028
RF_ESM-2,0.05,levenshtein_sequence_based,0.877,0.052,0.345,0.084,0.269,0.087,0.896,0.06,0.161,0.06,0.268,0.053,0.579,0.031,0.58,0.086
GBoost_ESM-2,0.05,levenshtein_sequence_based,0.892,0.051,0.481,0.107,0.449,0.109,0.89,0.061,0.306,0.1,0.379,0.076,0.65,0.051,0.609,0.072
RF_ESM-2,0.05,random_split,0.936,0.005,0.733,0.024,0.756,0.028,0.893,0.02,0.658,0.051,0.639,0.028,0.822,0.024,0.815,0.025
GBoost_ESM-2,0.05,random_split,0.938,0.004,0.744,0.022,0.772,0.024,0.875,0.02,0.693,0.045,0.652,0.025,0.837,0.021,0.807,0.02
LogReg_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.871,0.024,0.501,0.072,0.568,0.092,0.525,0.125,0.641,0.035,0.388,0.103,0.775,0.018,0.634,0.048
kSVC_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.838,0.032,0.23,0.143,0.283,0.141,0.426,0.228,0.251,0.123,0.221,0.099,0.595,0.062,0.326,0.138
LogReg_ESM-2-CDRextract,0.05,random_split,0.887,0.006,0.637,0.014,0.69,0.012,0.594,0.02,0.825,0.024,0.516,0.015,0.862,0.009,0.775,0.027
kSVC_ESM-2-CDRextract,0.05,random_split,0.866,0.006,0.431,0.023,0.501,0.019,0.58,0.029,0.442,0.017,0.341,0.018,0.692,0.009,0.472,0.032
RF_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.887,0.053,0.441,0.088,0.372,0.099,0.969,0.038,0.235,0.075,0.34,0.029,0.617,0.037,0.64,0.04
GBoost_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.895,0.052,0.511,0.106,0.481,0.104,0.914,0.079,0.333,0.102,0.406,0.058,0.664,0.052,0.653,0.037
RF_ESM-2-CDRextract,0.05,random_split,0.94,0.003,0.749,0.015,0.772,0.018,0.901,0.024,0.678,0.04,0.659,0.017,0.832,0.018,0.825,0.02
GBoost_ESM-2-CDRextract,0.05,random_split,0.939,0.002,0.751,0.009,0.778,0.008,0.877,0.038,0.702,0.03,0.659,0.011,0.842,0.012,0.827,0.02
LogReg_3-mer,0.05,levenshtein_sequence_based,0.89,0.04,0.494,0.049,0.532,0.047,0.674,0.087,0.458,0.091,0.384,0.034,0.713,0.045,0.581,0.043
kSVC_3-mer,0.05,levenshtein_sequence_based,0.888,0.053,0.456,0.107,0.434,0.11,0.831,0.062,0.302,0.105,0.358,0.062,0.646,0.054,0.565,0.063
LogReg_3-mer,0.05,random_split,0.913,0.026,0.693,0.059,0.74,0.051,0.697,0.091,0.798,0.028,0.586,0.066,0.866,0.016,0.778,0.023
kSVC_3-mer,0.05,random_split,0.939,0.003,0.75,0.012,0.78,0.014,0.864,0.028,0.713,0.037,0.658,0.014,0.846,0.016,0.776,0.017
RF_3-mer,0.05,levenshtein_sequence_based,0.898,0.049,0.519,0.115,0.498,0.123,0.888,0.05,0.357,0.128,0.415,0.085,0.675,0.065,0.612,0.059
GBoost_3-mer,0.05,levenshtein_sequence_based,0.893,0.051,0.485,0.115,0.461,0.126,0.859,0.055,0.327,0.13,0.384,0.081,0.66,0.065,0.593,0.061
RF_3-mer,0.05,random_split,0.946,0.003,0.779,0.014,0.807,0.012,0.875,0.028,0.751,0.026,0.694,0.017,0.866,0.011,0.839,0.022
GBoost_3-mer,0.05,random_split,0.94,0.004,0.755,0.016,0.787,0.015,0.845,0.02,0.738,0.028,0.663,0.019,0.857,0.013,0.799,0.023
LogReg_Antiberty,0.05,levenshtein_sequence_based,0.841,0.039,0.435,0.079,0.511,0.075,0.447,0.092,0.632,0.103,0.337,0.069,0.756,0.056,0.565,0.036
kSVC_Antiberty,0.05,levenshtein_sequence_based,0.826,0.03,0.231,0.073,0.3,0.065,0.38,0.138,0.3,0.133,0.211,0.063,0.61,0.058,0.291,0.092
LogReg_Antiberty,0.05,random_split,0.872,0.013,0.62,0.024,0.671,0.022,0.551,0.031,0.86,0.015,0.495,0.026,0.867,0.009,0.705,0.027
kSVC_Antiberty,0.05,random_split,0.844,0.006,0.335,0.04,0.418,0.041,0.482,0.027,0.371,0.05,0.275,0.025,0.65,0.023,0.366,0.022
RF_Antiberty,0.05,levenshtein_sequence_based,0.897,0.054,0.525,0.127,0.498,0.138,0.918,0.055,0.353,0.13,0.425,0.087,0.674,0.066,0.667,0.028
GBoost_Antiberty,0.05,levenshtein_sequence_based,0.908,0.035,0.56,0.068,0.564,0.088,0.853,0.034,0.432,0.106,0.447,0.075,0.709,0.05,0.631,0.049
RF_Antiberty,0.05,random_split,0.937,0.005,0.738,0.021,0.768,0.02,0.861,0.021,0.695,0.031,0.644,0.025,0.837,0.015,0.807,0.033
GBoost_Antiberty,0.05,random_split,0.939,0.001,0.749,0.006,0.779,0.006,0.861,0.023,0.713,0.023,0.657,0.007,0.846,0.01,0.797,0.03
