Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.05,levenshtein_sequence_based,0.767,0.034,0.191,0.079,0.319,0.07,0.322,0.099,0.344,0.106,0.224,0.059,0.6,0.047,0.345,0.106
kSVC_ESM-2,0.05,levenshtein_sequence_based,0.768,0.054,0.055,0.132,0.162,0.097,0.255,0.197,0.137,0.091,0.188,0.067,0.518,0.059,0.22,0.106
LogReg_ESM-2,0.05,random_split,0.803,0.031,0.448,0.053,0.555,0.041,0.469,0.051,0.683,0.021,0.377,0.038,0.756,0.024,0.689,0.034
kSVC_ESM-2,0.05,random_split,0.791,0.014,0.226,0.044,0.344,0.034,0.393,0.049,0.308,0.033,0.245,0.02,0.602,0.018,0.28,0.032
RF_ESM-2,0.05,levenshtein_sequence_based,0.833,0.056,0.078,0.069,0.024,0.026,0.6,0.49,0.013,0.013,0.179,0.05,0.506,0.007,0.29,0.039
GBoost_ESM-2,0.05,levenshtein_sequence_based,0.831,0.056,0.122,0.056,0.093,0.039,0.527,0.153,0.052,0.023,0.189,0.046,0.521,0.011,0.303,0.046
RF_ESM-2,0.05,random_split,0.901,0.008,0.623,0.036,0.636,0.032,0.914,0.035,0.488,0.029,0.538,0.037,0.739,0.016,0.717,0.034
GBoost_ESM-2,0.05,random_split,0.898,0.009,0.613,0.037,0.65,0.031,0.83,0.041,0.534,0.025,0.528,0.038,0.755,0.015,0.692,0.033
LogReg_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.772,0.024,0.195,0.096,0.326,0.092,0.325,0.131,0.343,0.094,0.228,0.082,0.601,0.049,0.358,0.109
kSVC_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.783,0.042,0.049,0.107,0.146,0.094,0.234,0.156,0.117,0.087,0.184,0.062,0.519,0.046,0.211,0.097
LogReg_ESM-2-CDRextract,0.05,random_split,0.819,0.013,0.47,0.033,0.572,0.025,0.495,0.027,0.678,0.023,0.394,0.025,0.764,0.017,0.697,0.027
kSVC_ESM-2-CDRextract,0.05,random_split,0.809,0.005,0.258,0.023,0.359,0.024,0.444,0.019,0.302,0.028,0.259,0.012,0.61,0.012,0.314,0.017
RF_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.834,0.057,0.09,0.086,0.034,0.036,0.6,0.49,0.018,0.019,0.184,0.048,0.509,0.009,0.292,0.054
GBoost_ESM-2-CDRextract,0.05,levenshtein_sequence_based,0.834,0.051,0.122,0.084,0.089,0.048,0.536,0.283,0.049,0.027,0.192,0.06,0.521,0.014,0.313,0.051
RF_ESM-2-CDRextract,0.05,random_split,0.905,0.005,0.643,0.022,0.657,0.019,0.924,0.028,0.509,0.016,0.558,0.024,0.75,0.009,0.722,0.031
GBoost_ESM-2-CDRextract,0.05,random_split,0.904,0.011,0.64,0.045,0.667,0.038,0.878,0.05,0.538,0.031,0.556,0.047,0.761,0.019,0.713,0.033
LogReg_3-mer,0.05,levenshtein_sequence_based,0.772,0.074,0.197,0.077,0.311,0.046,0.365,0.104,0.315,0.101,0.225,0.047,0.591,0.033,0.345,0.047
kSVC_3-mer,0.05,levenshtein_sequence_based,0.851,0.05,0.31,0.077,0.279,0.079,0.743,0.121,0.175,0.058,0.272,0.065,0.582,0.029,0.399,0.084
LogReg_3-mer,0.05,random_split,0.805,0.016,0.422,0.056,0.533,0.044,0.464,0.033,0.628,0.064,0.36,0.038,0.736,0.034,0.564,0.052
kSVC_3-mer,0.05,random_split,0.906,0.009,0.648,0.039,0.667,0.031,0.907,0.05,0.528,0.024,0.564,0.041,0.758,0.015,0.696,0.026
RF_3-mer,0.05,levenshtein_sequence_based,0.849,0.049,0.274,0.08,0.185,0.088,0.935,0.063,0.106,0.055,0.249,0.07,0.552,0.027,0.454,0.107
GBoost_3-mer,0.05,levenshtein_sequence_based,0.832,0.043,0.207,0.111,0.208,0.07,0.559,0.267,0.133,0.043,0.227,0.082,0.554,0.027,0.365,0.118
RF_3-mer,0.05,random_split,0.908,0.008,0.654,0.033,0.68,0.025,0.888,0.044,0.552,0.018,0.57,0.035,0.768,0.012,0.726,0.027
GBoost_3-mer,0.05,random_split,0.902,0.009,0.634,0.033,0.67,0.027,0.839,0.047,0.559,0.028,0.548,0.034,0.768,0.014,0.709,0.029
LogReg_Antiberty,0.05,levenshtein_sequence_based,0.786,0.023,0.286,0.059,0.408,0.07,0.377,0.095,0.463,0.104,0.266,0.078,0.656,0.038,0.428,0.088
