Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_ESM-2,0.1,levenshtein_sequence_based,0.734,0.054,0.042,0.172,0.176,0.16,0.181,0.113,0.217,0.237,0.201,0.072,0.533,0.096,0.226,0.088
kSVC_ESM-2,0.1,levenshtein_sequence_based,0.803,0.05,0.127,0.244,0.218,0.253,0.261,0.25,0.206,0.241,0.243,0.169,0.563,0.115,0.281,0.216
LogReg_ESM-2,0.1,random_split,0.814,0.013,0.465,0.04,0.568,0.031,0.485,0.026,0.684,0.04,0.389,0.029,0.764,0.023,0.692,0.026
kSVC_ESM-2,0.1,random_split,0.792,0.01,0.179,0.041,0.288,0.036,0.369,0.042,0.236,0.033,0.224,0.016,0.574,0.018,0.286,0.023
RF_ESM-2,0.1,levenshtein_sequence_based,0.82,0.053,-0.031,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.048,0.496,0.005,0.199,0.083
GBoost_ESM-2,0.1,levenshtein_sequence_based,0.798,0.046,-0.062,0.032,0.008,0.01,0.047,0.062,0.005,0.006,0.174,0.047,0.485,0.008,0.153,0.046
RF_ESM-2,0.1,random_split,0.9,0.004,0.622,0.019,0.631,0.018,0.923,0.032,0.48,0.021,0.535,0.019,0.735,0.01,0.71,0.023
GBoost_ESM-2,0.1,random_split,0.894,0.012,0.597,0.047,0.634,0.036,0.821,0.06,0.517,0.024,0.512,0.045,0.746,0.017,0.694,0.033
LogReg_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.711,0.064,0.032,0.123,0.192,0.105,0.194,0.084,0.219,0.143,0.189,0.055,0.519,0.066,0.207,0.059
kSVC_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.781,0.056,0.07,0.136,0.137,0.17,0.225,0.176,0.177,0.27,0.2,0.069,0.543,0.084,0.3,0.137
LogReg_ESM-2-CDRextract,0.1,random_split,0.826,0.007,0.492,0.021,0.589,0.016,0.508,0.015,0.7,0.022,0.409,0.016,0.777,0.012,0.707,0.021
kSVC_ESM-2-CDRextract,0.1,random_split,0.827,0.006,0.317,0.04,0.398,0.044,0.522,0.025,0.323,0.051,0.29,0.024,0.63,0.023,0.337,0.019
RF_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.821,0.051,-0.015,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.048,0.497,0.006,0.159,0.037
GBoost_ESM-2-CDRextract,0.1,levenshtein_sequence_based,0.806,0.049,-0.03,0.022,0.027,0.026,0.075,0.063,0.017,0.017,0.174,0.047,0.495,0.003,0.187,0.046
RF_ESM-2-CDRextract,0.1,random_split,0.899,0.004,0.615,0.019,0.623,0.017,0.924,0.028,0.47,0.017,0.529,0.02,0.731,0.009,0.723,0.02
GBoost_ESM-2-CDRextract,0.1,random_split,0.902,0.006,0.632,0.025,0.66,0.019,0.868,0.034,0.533,0.012,0.546,0.027,0.758,0.008,0.716,0.022
LogReg_3-mer,0.1,levenshtein_sequence_based,0.617,0.092,-0.031,0.093,0.198,0.106,0.165,0.094,0.272,0.148,0.176,0.056,0.475,0.056,0.271,0.11
kSVC_3-mer,0.1,levenshtein_sequence_based,0.817,0.053,-0.003,0.061,0.013,0.016,0.195,0.249,0.007,0.009,0.176,0.048,0.497,0.009,0.208,0.095
LogReg_3-mer,0.1,random_split,0.809,0.034,0.427,0.077,0.537,0.058,0.484,0.09,0.614,0.042,0.367,0.06,0.733,0.03,0.582,0.074
kSVC_3-mer,0.1,random_split,0.898,0.005,0.614,0.02,0.634,0.018,0.886,0.033,0.494,0.019,0.528,0.021,0.74,0.01,0.678,0.034
RF_3-mer,0.1,levenshtein_sequence_based,0.824,0.046,-0.007,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.048,0.499,0.001,0.172,0.055
GBoost_3-mer,0.1,levenshtein_sequence_based,0.78,0.074,-0.053,0.069,0.032,0.019,0.114,0.103,0.021,0.013,0.173,0.047,0.48,0.026,0.153,0.044
RF_3-mer,0.1,random_split,0.907,0.006,0.651,0.027,0.674,0.022,0.894,0.04,0.542,0.021,0.566,0.029,0.764,0.011,0.725,0.027
GBoost_3-mer,0.1,random_split,0.9,0.013,0.628,0.049,0.668,0.036,0.825,0.072,0.562,0.022,0.543,0.049,0.768,0.016,0.702,0.045
LogReg_Antiberty,0.1,levenshtein_sequence_based,0.785,0.05,0.103,0.209,0.177,0.206,0.277,0.235,0.187,0.26,0.225,0.099,0.551,0.114,0.308,0.132
kSVC_Antiberty,0.1,levenshtein_sequence_based,0.75,0.05,0.025,0.153,0.134,0.163,0.135,0.105,0.188,0.282,0.196,0.066,0.53,0.088,0.235,0.117
LogReg_Antiberty,0.1,random_split,0.806,0.014,0.46,0.037,0.564,0.029,0.471,0.026,0.703,0.038,0.384,0.027,0.766,0.021,0.685,0.027
kSVC_Antiberty,0.1,random_split,0.837,0.013,0.348,0.052,0.413,0.05,0.581,0.068,0.323,0.05,0.309,0.033,0.636,0.023,0.48,0.03
RF_Antiberty,0.1,levenshtein_sequence_based,0.823,0.052,-0.013,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.048,0.498,0.004,0.205,0.094
GBoost_Antiberty,0.1,levenshtein_sequence_based,0.814,0.047,0.039,0.152,0.1,0.185,0.122,0.218,0.085,0.16,0.199,0.092,0.523,0.065,0.205,0.115
RF_Antiberty,0.1,random_split,0.906,0.003,0.647,0.014,0.662,0.015,0.918,0.021,0.519,0.02,0.562,0.015,0.754,0.009,0.723,0.025
GBoost_Antiberty,0.1,random_split,0.899,0.003,0.62,0.011,0.656,0.01,0.837,0.039,0.541,0.025,0.533,0.011,0.759,0.009,0.696,0.028
