coeff,gene_names
-0.03695667391066356,HOXA7
-0.037073746159966815,HIST2H2BB
-0.03710625190317967,BEX3
-0.037187530957973905,TMEM97
-0.03768305267923364,PSMC3IP
-0.03789970477271537,KRT77
-0.03819378728261764,E2F8
-0.03824493763160016,GPHN
-0.03836781407293734,SEC11C
-0.038696051559498595,GM10734
-0.0387115662685437,PAK1
-0.038723734420184126,HIGD1A
-0.0387310256158428,IFI206
-0.03889579123919409,CHAF1B
-0.03911142671276772,CDT1
-0.039185744134748415,RILPL2
-0.03938360058502308,SERBP1
-0.03953480105682245,LMO2
-0.03964145251899273,PKMYT1
-0.040702420925476476,GM14164
-0.04073931460353713,LY6D
-0.0414046825843076,GM43305
-0.04146352119055494,CMSS1
-0.041847034139472154,D430019H16RIK
-0.04200094980761259,TOX2
-0.04215942030463924,SDC4
-0.042485593185683464,HMCES
-0.04260574497866287,GSPT1
-0.042779857364778635,MND1
-0.04278183638361582,AARSD1
-0.04294165306638191,IQANK1
-0.043150171452783895,HSP90AB1
-0.04380027098644882,TNFRSF9
-0.04380766104989061,GSTP1
-0.04397759131559893,NEFH
-0.045367788644137215,RUVBL2
-0.04600730008322929,CCDC175
-0.0472993096128736,S100A11
-0.04793011496323554,H13
-0.04963230366085283,BAZ1B
-0.0502518095942164,HNRNPD
-0.05052379577696058,RERG
-0.051493181949528885,KCNJ1
-0.054164180413792194,SPAG5
-0.05417396326755923,ATAD3A
-0.05500696214183561,ATAD5
-0.05554437566445471,GM42418
-0.0557314211194567,AC133103.1
-0.0792148704757868,HNRNPU
-0.0848037732648367,LARS2
