coeff,gene_names
-0.125564412792197,GOT2
-0.1257973045789052,SLC25A5
-0.12612104780060088,CMSS1
-0.13014630348312614,EEF1G
-0.13268789074289572,APOE
-0.13372870530050301,TRIM37
-0.13409140883762632,PTGES3
-0.13477858032701417,XLR3A
-0.13502752248741542,FXN
-0.1353385648462914,CENPX
-0.13602293465285578,MIF
-0.13691213691333148,CISD1
-0.13708987663524227,RPL14
-0.14072706790462738,GM49953
-0.14121300634713818,NPM3
-0.14154458795307406,ABR
-0.14250492732035283,NME2
-0.14354550348531953,SMARCC1
-0.14424321776896007,HSP90AB1
-0.14442369612799025,SRSF4
-0.14459557057455955,DYNLL2
-0.1465127953637034,0610010F05RIK
-0.14734948087623526,SMARCA4
-0.1473860410427577,BRCA2
-0.15052327184930264,FSCN1
-0.15418027356678718,TYMS
-0.15587434997714186,SELENOP
-0.15590890777288782,BATF
-0.15720919112206733,SDF2L1
-0.15820510653211678,TACSTD2
-0.16572967807073874,TMPO
-0.1686918298563225,GAR1
-0.16923701377565656,PPIA
-0.17334696385025017,CBX5
-0.17485349859685587,NXT1
-0.17955995018869308,ATP5G1
-0.1871373266656576,MARCKSL1
-0.1874620905099596,MRPL12
-0.19517775594992334,BASP1
-0.19707026313778228,GM26917
-0.22950893991981566,GSPT1
-0.23374209095927098,PGP
-0.23719330754834828,IL31RA
-0.24583802426150964,PIM1
-0.24850777736924073,HNRNPU
-0.2614292224857387,RPS2
-0.2756253705837704,SOCS1
-0.2772991562407208,ANP32B
-0.3220633321120354,HNRNPAB
-0.32561014337491917,LMNB1
