coeff,gene_names
-0.03633447329565086,NUDC
-0.03665292642428628,SH2D2A
-0.03674771682301331,APEX1
-0.03705268708551307,BST2
-0.037867201914947295,DERL3
-0.038766831486538166,HDAC8
-0.038925955295963696,SIVA1
-0.039039608138603854,HSP90AA1
-0.039182052318137386,CDK4
-0.03921739494760535,UEVLD
-0.039483181287311736,EIF3A
-0.039651911675353035,TKT
-0.040424029550697654,YWHAE
-0.04096458350685005,TMA16
-0.041106920942804215,ORC6
-0.04167262600138349,STMN1
-0.04173085021201645,GM17057
-0.04217611381743244,SLC29A1
-0.04320954576946324,DDT
-0.04327771181288419,TOMM20
-0.04342547607049219,FTSJ3
-0.0441237466467731,UCHL5
-0.04435630736796637,PMM1
-0.04450837313818391,MASTL
-0.04456840313031325,EEF1G
-0.04490166076482213,ISG15
-0.045008715689473566,REXO2
-0.04501532148064459,PSMB7
-0.045772330952739096,RPLP0
-0.04748200917322145,RPL10A
-0.04763843213491844,TACSTD2
-0.04768167411658379,ARL6IP6
-0.04773507449312643,DUT
-0.04794274826759122,TMEM97
-0.04796318828959306,RPA2
-0.048297589874189355,PEBP1
-0.048457978513095815,GRN
-0.051012744770538,ATP5B
-0.05102367349547878,CANX
-0.05107805187600637,RACK1
-0.05214995505507984,GAPDH
-0.05280251313127749,CCT4
-0.05392636506461664,MIF
-0.0548569814642849,APRT
-0.05901970272703959,FFAR2
-0.06030738961360429,SET
-0.07027509131668584,TAGLN2
-0.08940047084287243,BLVRB
-0.10036437117445625,HSP90AB1
-0.1535809443524425,GM30211
