gene_names,coefficients,valid_p_value,adjusted_p_value
MCM3,0.12452529304013317,0.0013322219417221954,0.009060934165274932
PRIM2,-0.10574141998804305,0.0007738948065022363,0.0057998305121261945
CHST10,0.17388732385600528,1.648066041122945e-09,4.743563996623433e-08
WDR75,0.1201295796607619,1.3561289339419983e-05,0.00016523141489624592
STAT1,0.12319606625755751,1.3477944459230182e-05,0.00016522961540759964
HSPE1,0.15158472053462732,9.063628238394887e-07,1.4516423936655037e-05
SGO2A,-0.1003269445036569,0.004467825805103471,0.024461384496646126
BZW1,0.15517255767941038,1.8857726492764678e-07,3.566804268060062e-06
ORC2,-0.09136767021892009,0.0020898671610257128,0.013302808274990596
ATIC,0.11837286940653192,5.82307397729121e-05,0.0005930576881487355
TUBA4A,0.06811372566822291,0.009406487839041739,0.04437359821457694
PSMD1,0.11737892003857786,3.990168408447318e-05,0.00042604701393421363
DDX18,0.0875665888740663,0.002280579706948555,0.014287795892743942
MCM6,0.4058120165553163,1e-10,3.747169811320755e-09
CTSE,0.148907988163251,3.378352475684008e-07,6.099461833371309e-06
RGS13,0.15411224698161907,7.354059952938688e-06,9.608659912194891e-05
GLUL,0.17597576032726972,4.567606781444353e-10,1.4631075916045945e-08
CENPL,-0.11456784596021297,0.00011726256686879659,0.0011037130701489575
SH2D1B1,0.25544405918494556,1e-10,3.747169811320755e-09
B930036N10RIK,-0.09244795521896422,0.0027762210170576007,0.016707802848110288
EXO1,0.09962961668651443,0.0011636419907116854,0.008190358071557349
HNRNPU,-0.24850777736924073,1e-10,3.747169811320755e-09
CNST,0.2344096689828235,1e-10,3.747169811320755e-09
PARP1,0.07896453779937004,0.006758195400714958,0.033723055441758555
SUSD4,0.1254625209982222,0.006296074431080759,0.03214396868927092
HSPA14,0.18931407747024165,1e-10,3.747169811320755e-09
OPTN,-0.09200492270571448,0.0019176334677769803,0.012405277091221767
CAMK1D,-0.11206915118340526,0.0011216926614533356,0.007984521955721594
ETL4,0.15898196081438504,6.708988193746107e-08,1.3876557772721602e-06
SLC2A6,0.0990027370038006,0.0003616251059947064,0.0029833393869245894
ODF2,0.08601362131266972,0.0038870159043993624,0.02193072041516231
ASS1,0.08603461396460799,0.00349024093126916,0.020091647795653773
HSPA5,0.13354906521221205,2.488144248818609e-05,0.00028563320682969696
RPL35,0.185824484282926,6.537237087666203e-05,0.0006548908101598512
LRP1B,0.12777772594853276,5.030470975769446e-06,6.842818738272685e-05
ZEB2,-0.08639359433069409,0.0033459197812141924,0.019429814869857853
CERS6,0.183882563896587,1.0451718708235872e-09,3.098076620083051e-08
PTPRJ,-0.08002474661927456,0.0034185498061248174,0.01973616254349967
LMO2,-0.08820201640587638,0.0022584469025514167,0.014193909963503525
KNSTRN,-0.09388732566298436,0.008614441957972018,0.04152495565177774
HYPK,0.29184349733157455,1e-10,3.747169811320755e-09
EIF3J1,0.08749389640200082,0.00252744977784187,0.015537096002370224
SORD,-0.08545076256200144,0.001818844932810107,0.011843364054297941
GATM,0.10650564405769475,0.0005176425885441347,0.00405037353121823
NCAPH,0.18156331920216284,1.8068359385002678e-08,4.323344787784978e-07
MORRBID,-0.10052924077865621,0.0012274053868978475,0.0085831940083772
CDC25B,0.233105461869818,1e-10,3.747169811320755e-09
MCM8,0.0819367845125581,0.006087219348614317,0.03148233756861467
NXT1,-0.17485349859685587,6.799985312337169e-09,1.7538663415976127e-07
NOL4L,0.11954890948544313,0.0015258379809914356,0.010237548075165512
DSN1,-0.08144784528407026,0.006037025092698373,0.031386208989787875
RBL1,-0.08469014723001565,0.003916364783479192,0.02203371235124554
SLPI,0.23899945524297256,1e-10,3.747169811320755e-09
SDC4,-0.09431554823046422,0.00035442952614488506,0.0029575505837132004
PLTP,0.07959150800914119,0.002338840909872448,0.014560934316635363
CD40,0.23438736178938566,1e-10,3.747169811320755e-09
CSE1L,-0.11446506692926481,4.9531658002543786e-05,0.0005177361725950103
PAG1,-0.09841098917121573,0.0026900713104057,0.016337864288885996
FABP5,0.09660074397875598,0.0053722830756956835,0.02852768499553911
GNB4,0.1586109202640173,2.0624400507599862e-07,3.864156547933333e-06
EXOSC8,-0.12132929131546089,0.00018024835152460268,0.0016271510278539133
SMC4,-0.10618795914606602,0.002534752822138949,0.015537096002370224
SSR2,0.0699957578593358,0.008949899869120778,0.04272716620210063
ILF2,0.09735100205656484,0.0006936586401890883,0.005333244047524677
TENT5C,-0.09198434577344286,0.0032221670124033762,0.018821246137156192
CAPZA1,0.6197839953354954,1e-10,3.747169811320755e-09
S1PR1,0.083316448907398,0.0024041860766942256,0.014920979838483537
GAR1,-0.1686918298563225,6.796210604254646e-08,1.3876557772721602e-06
PLA2G12A,0.09841880460870087,0.0004408924994771125,0.0035739285875981447
TSPAN5,0.12804873546210363,0.00017089578448508988,0.0015640508202183802
GBP2,0.07292099943797635,0.0066249226269487396,0.033224990750303524
ZNHIT6,-0.07263805787249249,0.009815764485014047,0.04593058170382152
MCOLN2,-0.07272715765071339,0.005264150090577307,0.028103769031953045
ST6GALNAC3,0.07472962994374548,0.010487652498071997,0.048551230445620014
CRYZ,0.10181695465314682,0.00040299420090891906,0.003280108536906202
GM11808,0.3836140627216906,1e-10,3.747169811320755e-09
TOX,0.23661402827940564,3.0020089882176687e-10,1.0262531520441555e-08
CDH17,0.09721115882445941,0.007480782078265402,0.03650327569394371
NDUFAF4,-0.09599433544941,0.001703849863523798,0.01120478751310683
VCP,0.28541763804535586,1e-10,3.747169811320755e-09
CD72,-0.09909129973725721,0.001344051800597741,0.00907920706118066
ANP32B,-0.2772991562407208,1e-10,3.747169811320755e-09
SMC2,-0.11065032673265435,0.003597219040690907,0.02058811819830588
NDC1,0.17389675612176952,2.685644759203304e-08,6.130678726181334e-07
CMPK1,-0.11033554873471182,0.0008003521625061417,0.005975561634350366
NASP,-0.11355060204486236,0.0010722728473038338,0.007687847923268643
EBNA1BP2,0.11302485241655283,9.46102023219998e-05,0.0009165651795682517
YBX1,-0.09993387198152343,0.001046563801123776,0.007530709090694996
PPIH,0.15995152754813158,6.847445426619924e-08,1.3876557772721602e-06
HIVEP3,-0.11931666392963712,6.078279046018064e-05,0.0006158909278261161
SCMH1,-0.08943956930997501,0.0013297896295414579,0.009060934165274932
CTPS,0.13661891702869006,4.301890464917968e-06,6.0165876502303406e-05
PABPC4,-0.08276931416715827,0.005591841465239501,0.029379357539591665
AK2,0.11885228413559946,0.0001373496219607103,0.0012806401371547919
YARS,0.12933709120169373,1.1050366576730379e-05,0.00013978361797061485
MARCKSL1,-0.1871373266656576,3.583395244288623e-08,7.735459733866527e-07
LCK,0.12356380364101548,2.7206905308083917e-05,0.0003070051928514469
SRSF4,-0.14442369612799025,6.06923935955234e-07,1.021483844751775e-05
SRRM1,0.13358431126727244,1.0994815805831448e-05,0.00013978361797061485
PADI4,0.09734039209772026,0.0007451482920140666,0.005691786568999755
DHRS3,0.08419689948364936,0.003268765635964745,0.019037444437026346
TNFRSF8,0.21002960127337583,0.0015696079909160096,0.010495762525115134
EXOSC10,0.21383216628028281,1e-10,3.747169811320755e-09
SRM,-0.09214859684235799,0.005136568279387117,0.027496562271867423
